# Originally 197 with B and T (13 invited)
#  -> 197 * 4 + 13 * 8 = 892 pages, 800 is the max
# Total: 169 
# Final: 161 = 10 I + 31 O + 105 P    [790 pages]   82%
# Draft:   0 =  0 I +  0 O +   1 P
# Blank:   6 =  0 I +  1 O +   1 P
#
# tagnames in this file and script processor
# in final_count:  set editors = (PJT MWP ok EMW BAT PHOTO)
#
##NOPAPER Rutkowski, Kristin      ; P13-14   #
Ryan, P. Wesley                   ; P13-15   finalp v2   copy          BAT ok          2/3 PHOTO?
Salgado, Jesus                    ; P10-13   finalp v2                 BAT ok needs fix for ref \procspie 
Sanguillon, Michele               ; P10-14   finalp v2   copy          BAT ok 
Santos, Rafael                    ; P1-11    finalp v4   copy  	       BAT ok 
Schaaff, Andre                    ; P1-12    finalp v2   copy  	       BAT ok
Servillat, Mathieu                ; P11-6    finalp v2                 EMW h      SERIOUS FIGURE ISSUE OVERLAPPING EDGES - bb?
##NOPAPER Shen, Robert            ; P5-16    #
##NOPAPER Shin, Min-Su            ; P8-6     #                 
Shipman, Russell                  ; P13-16   finalp v2 copy            BAT ok
Shirasaki, Yuji                   ; P13-17   finalp  copy  	       BAT ok 
##Sihlangu, Isaac                 ; P1-13    #
Smith				  ; O5-3     finalp v3  copy           BAT ok
Snyder, Gregory                   ; P1-14    finalp v1  	       BAT ok 
##NOPAPER Solar, Martin           ; P13-18   #   sent email dec 7 ; dec 18 ->  no, now need the poster
Solar, Mauricio                   ; P12-13   finalp V1                 PJT ok2
#Song, Xinying                    ; P4-17    #
##Stenborg, Travis                ; P2-7     #
Stephens, Tom                     ; P13-19   finalp v4                 BAT ok
#Stevens			  ; O8-1     #
Stoehr				  ; I10-1    finalp v2                 BAT ok
##NOPAPER Streicher, Ole          ; P11-7    #            sent email dec 7; dec 18
Sutrisno, Raymond                 ; P1-15    finalp v5                 BAT ok 
Swade, Daryl                      ; P10-15   finalp v2  copy 	       BAT ok 
##Tao, Yihan                      ; P1-16    #
Tavagnacco      		  ; O12-2    finalp v2   copy          BAT ok
Taylor, Mark                      ; P3-8     finalp copy     	       BAT ok
Teuben, Peter                     ; P13-20   finalp v2       	       PJT ok
Tian, Fan                         ; P12-14   finalp v2       	       BAT ok
#Toledo				  ; O4-1           dec-6 -> will do dec 27->soon jan 8 => vacation to FEB 4 !!
Tomasi				  ; O4-5     finalp v3                 MWP ok
Torres, Simón                     ; P4-18    finalp v2                 BAT ok
Tsutsumi, Takahiro                ; P12-15   finalp v3 copy            BAT ok
Vahi            		  ; F5       finalp v3       	       BAT ok
##NOPAPER Varshney, Amitabh	  ; I3-1     #  jan 8 -> sorry
##Vitello, Fabio                  ; P3-9     #
